Segment,StartPoint,EndPoint
1,0.000,87.062
2,87.063,538.518
3,538.519,662.651
4,662.652,1103.161
5,1103.162,1372.998
6,1372.999,1465.923
7,1465.924,1598.690
8,1598.691,1785.696
9,1785.697,1950.703
10,1950.704,2061.947
11,2061.948,2348.941
12,2348.942,2385.038
13,2385.039,2702.284
14,2702.285,2907.675
15,2907.676,3264.398
16,3264.399,3485.887
17,3485.888,3533.174
18,3533.175,3583.756
19,3583.757,3881.895
20,3881.896,4204.150
21,4204.151,4442.165
22,4442.166,4530.376
