Segment,StartPoint ,EndPoint
1,0.000,1008.953
2,1008.954,1465.923
3,1465.924,1747.374
4,1747.375,1822.178
5,1822.179,1950.703
6,1950.704,3177.454
7,3177.455,3428.825
8,3428.826,4530.376
