Segment,StartPoint,EndPoint
1,0.000,258.910
2,258.911,538.518
3,538.519,1103.161
4,1103.162,1507.571
5,1507.572,3428.825
6,3428.826,3694.748
7,3694.749,3933.767
8,3933.768,4204.150
9,4204.151,4442.165
10,4442.166,4530.376
