Segment,StartPoint,EndPoint
1,0.000,111.114
2,111.115,258.910
3,258.911,329.823
4,329.824,504.878
5,504.879,944.204
6,944.205,1456.516
7,1456.517,1598.690
8,1598.691,1747.374
9,1747.375,1785.696
10,1785.697,2061.947
11,2061.948,2123.513
12,2123.514,2241.887
13,2241.888,2348.941
14,2348.942,2526.033
15,2526.034,3533.174
16,3533.175,3694.748
17,3694.749,3948.362
18,3948.363,4530.376
