Segment,StartPoint ,EndPoint
1,0.000,329.823
2,329.824,882.155
3,882.156,1008.953
4,1008.954,1372.998
5,1372.999,1403.852
6,1403.853,1465.923
7,1465.924,3428.825
8,3428.826,3533.174
9,3533.175,4265.361
10,4265.362,4530.376
