Segment,StartPoint,EndPoint
1,0.000,51.425
2,51.426,258.910
3,258.911,329.823
4,329.824,363.235
5,363.236,417.728
6,417.729,552.741
7,552.742,1372.998
8,1372.999,1456.516
9,1456.517,2437.523
10,2437.524,2660.939
11,2660.940,3428.825
12,3428.826,3485.887
13,3485.888,4530.376
