Segment,StartPoint ,EndPoint
1,0.000,840.949
2,840.950,1372.998
3,1372.999,1438.431
4,1438.432,1598.690
5,1598.691,1806.694
6,1806.695,2061.947
7,2061.948,2110.285
8,2110.286,2907.675
9,2907.676,3264.398
10,3264.399,3906.632
11,3906.633,4103.725
12,4103.726,4530.376
