Segment,StartPoint,EndPoint
1,0.000,329.823
2,329.824,363.235
3,363.236,704.704
4,704.705,882.155
5,882.156,1008.953
6,1008.954,1403.852
7,1403.853,1598.690
8,1598.691,1759.906
9,1759.907,2156.413
10,2156.414,2304.464
11,2304.465,2385.038
12,2385.039,2907.675
13,2907.676,3485.887
14,3485.888,3556.449
15,3556.450,3906.632
16,3906.633,4204.150
17,4204.151,4530.376
