Segment,StartPoint,EndPoint
1,0.000,111.114
2,111.115,258.910
3,258.911,329.823
4,329.824,363.235
5,363.236,944.204
6,944.205,1372.998
7,1372.999,1614.154
8,1614.155,2385.038
9,2385.039,2493.191
10,2493.192,3533.174
11,3533.175,4204.150
12,4204.151,4530.376
