Segment,StartPoint,EndPoint
1,0.000,329.823
2,329.824,504.878
3,504.879,1043.001
4,1043.002,1372.998
5,1372.999,1456.516
6,1456.517,1747.374
7,1747.375,2348.941
8,2348.942,2702.284
9,2702.285,2931.597
10,2931.598,3331.065
11,3331.066,4103.725
12,4103.726,4204.150
13,4204.151,4530.376
