Segment,StartPoint ,EndPoint
1,0.000,87.062
2,87.063,329.823
3,329.824,417.728
4,417.729,662.651
5,662.652,1372.998
6,1372.999,1598.690
7,1598.691,1785.696
8,1785.697,2123.513
9,2123.514,2156.413
10,2156.414,2274.572
11,2274.573,2493.191
12,2493.192,2660.939
13,2660.940,3485.887
14,3485.888,3881.895
15,3881.896,4442.165
16,4442.166,4530.376
